"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 01 14:35:43 CET 2023","Wed Mar 01 14:35:43 CET 2023","64","","","","","","Every retail account has no invalid account type",""
"failed","Wed Mar 01 14:35:43 CET 2023","Wed Mar 01 14:35:43 CET 2023","138","","","","","","Failed test",""
"passed","Wed Mar 01 14:35:43 CET 2023","Wed Mar 01 14:35:43 CET 2023","227","","","","","","Every retail account has invalid account type",""
